Round,Table,East Seat,South Seat,West Seat,North Seat
7,1,artbuddy,ysrafil,Mandarin Duck,Eden
7,2,Cerradin,bakasenpai,Autissima,ACheerfulPanic
7,3,Eile,DaikaNyan,Ding,bobland
7,4,Bouche,AnimatedElf,darkboss,Hannya般若
7,5,Perry,Asahinacchi,AndyJango,Derinov
7,6,Morning Rescue,CMC,adonis_minus_20,Caldoran
7,7,gostosinha,Caek,ValentineLuv,Bbell3000
7,8,Alp314,WishMeLuck!,AlexPlayer7,Plein
7,9,FalconHit,Serenity312,hwnglk25,Bajar
7,10,Bobolai,bladeclara42,Linabell,Dojima
7,11,LangKhach,Centrivy,LiterallyMe,cunny
7,12,adofai,Cous1000,chev,AgentSeto
7,13,budgetloaf,Eruni,Jabberwock,Danchi
7,14,cinabari,Aestival,snowHaku,DemoKracker
