Round,Table,East Seat,South Seat,West Seat,North Seat
3,1,Caek,Eile,Danchi,ACheerfulPanic
3,2,Perry,Serenity312,budgetloaf,Linabell
3,3,Ding,Jabberwock,WishMeLuck!,snowHaku
3,4,darkboss,Cerradin,cunny,bobland
3,5,adofai,Aestival,Morning Rescue,Dojima
3,6,bakasenpai,Bbell3000,AlexPlayer7,AndyJango
3,7,gostosinha,Cous1000,Autissima,AnimatedElf
3,8,DaikaNyan,adonis_minus_20,AgentSeto,Hannya般若
3,9,bladeclara42,DemoKracker,Mandarin Duck,Bouche
3,10,artbuddy,Caldoran,Centrivy,Derinov
3,11,hwnglk25,ysrafil,cinabari,chev
3,12,FalconHit,Plein,ValentineLuv,Bobolai
3,13,Alp314,LangKhach,Bajar,CMC
3,14,Asahinacchi,LiterallyMe,Eruni,Eden
