Round,Table,East Seat,South Seat,West Seat,North Seat
1,1,Danchi,cinabari,Cous1000,Eden
1,2,Serenity312,bakasenpai,snowHaku,Hannya般若
1,3,LangKhach,WishMeLuck!,Dojima,AgentSeto
1,4,CMC,FalconHit,Asahinacchi,Eile
1,5,Jabberwock,Alp314,ACheerfulPanic,ysrafil
1,6,Cerradin,Eruni,AndyJango,Mandarin Duck
1,7,Bajar,Centrivy,darkboss,ValentineLuv
1,8,Bbell3000,bobland,chev,Perry
1,9,AnimatedElf,Bobolai,DaikaNyan,adofai
1,10,Plein,Morning Rescue,LiterallyMe,artbuddy
1,11,budgetloaf,hwnglk25,Derinov,DemoKracker
1,12,cunny,Caek,adonis_minus_20,Ding
1,13,Linabell,Bouche,gostosinha,Aestival
1,14,AlexPlayer7,Autissima,Caldoran,bladeclara42
