Round,Table,East Seat,South Seat,West Seat,North Seat
6,1,Aestival,AlexPlayer7,Caek,AnimatedElf
6,2,darkboss,gostosinha,Eile,Jabberwock
6,3,Cous1000,Ding,Bouche,artbuddy
6,4,Eruni,chev,Morning Rescue,LangKhach
6,5,ysrafil,Danchi,bobland,WishMeLuck!
6,6,Plein,Derinov,Bbell3000,Eden
6,7,adonis_minus_20,Cerradin,Serenity312,cinabari
6,8,hwnglk25,Alp314,bakasenpai,Bobolai
6,9,Mandarin Duck,Linabell,cunny,Hannya般若
6,10,CMC,Autissima,Centrivy,budgetloaf
6,11,snowHaku,adofai,Caldoran,FalconHit
6,12,Bajar,LiterallyMe,DaikaNyan,AndyJango
6,13,Asahinacchi,ValentineLuv,AgentSeto,bladeclara42
6,14,Dojima,ACheerfulPanic,DemoKracker,Perry
