Round,Table,East Seat,South Seat,West Seat,North Seat
2,1,DemoKracker,Danchi,AnimatedElf,Cerradin
2,2,Cous1000,darkboss,ysrafil,DaikaNyan
2,3,snowHaku,Perry,hwnglk25,Caek
2,4,Dojima,AndyJango,Eile,Plein
2,5,cinabari,bladeclara42,Ding,LiterallyMe
2,6,Centrivy,gostosinha,FalconHit,bakasenpai
2,7,Caldoran,budgetloaf,Alp314,Bbell3000
2,8,ACheerfulPanic,artbuddy,Aestival,Asahinacchi
2,9,Autissima,Bajar,Bobolai,Eden
2,10,AgentSeto,Mandarin Duck,Serenity312,Morning Rescue
2,11,WishMeLuck!,Derinov,CMC,cunny
2,12,adonis_minus_20,chev,Bouche,AlexPlayer7
2,13,ValentineLuv,Linabell,LangKhach,Jabberwock
2,14,Eruni,adofai,bobland,Hannya般若
